ZIPCODE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,STATE,STATE_NAME,STATE_FIPS,source_file,state_zip_key_x,region_type,region_type_id,redfin_tableid_zip,zip_code,state,state_code,parent_metro_region,parent_metro_region_metro_code,state_county_code,redfin_county_name,redfin_table_id_county,redfin_region_type,census_city_long,census_city,state_zip_combined,redfin_table_id_city,redfin_city,Unnamed: 17,Unnamed: 18,state_zip_key_y,data_source,has_census_data,has_redfin_data,has_geometry
89119,89119,33418169.0,0.0,+36.0845200,-115.1460714,NV,Nevada,32,28561.0,NV_89119,zip code,2.0,37277.0,89119,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389119.0,10201.0,"Las Vegas, NV",,,NV_89119,Complete data,True,True,True
89120,89120,18274483.0,0.0,+36.0806522,-115.0958684,NV,Nevada,32,28675.0,NV_89120,zip code,2.0,37278.0,89120,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389120.0,10201.0,"Las Vegas, NV",,,NV_89120,Complete data,True,True,True
89121,89121,23776646.0,0.0,+36.1214097,-115.0913665,NV,Nevada,32,28670.0,NV_89121,zip code,2.0,37279.0,89121,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389121.0,10201.0,"Las Vegas, NV",,,NV_89121,Complete data,True,True,True
89122,89122,24672130.0,0.0,+36.1039655,-115.0378255,NV,Nevada,32,28604.0,NV_89122,zip code,2.0,37280.0,89122,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389122.0,10201.0,"Las Vegas, NV",,,NV_89122,Complete data,True,True,True
89123,89123,26826701.0,0.0,+36.0352159,-115.1491232,NV,Nevada,32,28654.0,NV_89123,zip code,2.0,37281.0,89123,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389123.0,10201.0,"Las Vegas, NV",,,NV_89123,Complete data,True,True,True
89124,89124,2419735959.0,212.0,+36.3918059,-115.6830197,NV,Nevada,32,28633.0,NV_89124,zip code,2.0,37282.0,89124,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389124.0,10201.0,"Las Vegas, NV",,,NV_89124,Complete data,True,True,True
89128,89128,15506280.0,0.0,+36.1967843,-115.2644058,NV,Nevada,32,28721.0,NV_89128,zip code,2.0,37286.0,89128,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389128.0,10201.0,"Las Vegas, NV",,,NV_89128,Complete data,True,True,True
89129,89129,25854133.0,0.0,+36.2332497,-115.2902529,NV,Nevada,32,28699.0,NV_89129,zip code,2.0,37287.0,89129,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389129.0,10201.0,"Las Vegas, NV",,,NV_89129,Complete data,True,True,True
89130,89130,19955185.0,0.0,+36.2534815,-115.2267063,NV,Nevada,32,28720.0,NV_89130,zip code,2.0,37288.0,89130,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389130.0,10201.0,"Las Vegas, NV",,,NV_89130,Complete data,True,True,True
89131,89131,41862086.0,8791.0,+36.3061431,-115.2430238,NV,Nevada,32,28592.0,NV_89131,zip code,2.0,37289.0,89131,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389131.0,10201.0,"Las Vegas, NV",,,NV_89131,Complete data,True,True,True
89134,89134,17284510.0,0.0,+36.2026265,-115.3078077,NV,Nevada,32,28677.0,NV_89134,zip code,2.0,37292.0,89134,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389134.0,10201.0,"Las Vegas, NV",,,NV_89134,Complete data,True,True,True
89135,89135,131259595.0,0.0,+36.0953021,-115.3716503,NV,Nevada,32,28612.0,NV_89135,zip code,2.0,37293.0,89135,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389135.0,10201.0,"Las Vegas, NV",,,NV_89135,Complete data,True,True,True
